id,country,city,age,income
1,France,Paris,55,66740.85
2,India,Delhi,20,59055.31
3,Germany,Munich,76,39225.28
4,India,Bangalore,58,44226.59
5,India,Delhi,52,55047.16
6,Canada,Montreal,67,39150.42
7,Germany,Munich,57,37742.02
8,Germany,Munich,39,40181.36
9,Germany,Munich,25,38892.43
10,India,Mumbai,32,50662.86
11,France,Marseille,62,74945.62
12,Germany,Berlin,24,34893.33
13,Brazil,Rio de Janeiro,36,48901.61
14,India,Mumbai,57,56909.24
15,Canada,Montreal,59,58033.31
16,France,Lyon,34,42411.85
17,Brazil,Sao Paulo,18,59280.49
18,Brazil,Sao Paulo,62,56300.43
19,Canada,Montreal,46,43231.11
20,France,Paris,75,29709.14
21,India,Bangalore,30,32850.27
22,USA,Los Angeles,73,61187.83
23,France,Lyon,65,71405.96
24,Canada,Toronto,46,50011.33
25,Brazil,Rio de Janeiro,58,71028.58
26,India,Delhi,59,49214.29
27,France,Paris,23,32832.76
28,USA,Los Angeles,22,46857.99
29,USA,New York,51,72377.85
30,Germany,Frankfurt,28,40948.02
31,Germany,Frankfurt,26,47960.72
32,Canada,Montreal,55,67784.52
33,France,Paris,57,66751.88
34,France,Paris,58,54588.9
35,Brazil,Rio de Janeiro,26,58019.72
36,Brazil,Rio de Janeiro,25,65942.75
37,Brazil,Rio de Janeiro,61,54628.39
38,Germany,Munich,75,69207.65
39,France,Lyon,57,60079.1
40,France,Paris,20,47781.55
41,USA,New York,30,56517.8
42,Germany,Frankfurt,36,44218.37
43,India,Bangalore,51,35516.87
44,Germany,Frankfurt,49,32878.37
45,India,Bangalore,66,46901.24
46,USA,New York,33,54694.71
47,Canada,Toronto,53,77015.76
48,France,Paris,35,56241.2
49,USA,Los Angeles,31,52872.38
50,France,Lyon,47,48505.44
51,Brazil,Brasilia,19,44639.46
52,Canada,Vancouver,30,51961.37
53,Canada,Toronto,44,45863.57
54,USA,Chicago,76,45127.24
55,Canada,Montreal,70,62311.62
56,India,Delhi,69,36387.97
57,Canada,Montreal,34,46251.19
58,France,Lyon,48,39685.76
59,France,Lyon,32,51764.07
60,France,Marseille,74,62806.4
61,France,Lyon,79,55249.84
62,India,Delhi,37,46686.49
63,Germany,Munich,22,64105.72
64,Brazil,Rio de Janeiro,24,63240.61
65,USA,Chicago,35,50592.49
66,France,Paris,73,73894.96
67,Canada,Toronto,28,56290.84
68,France,Lyon,49,55886.39
69,Canada,Vancouver,67,31959.84
70,Brazil,Rio de Janeiro,44,24744.58
71,Brazil,Sao Paulo,43,50951.55
72,Brazil,Rio de Janeiro,54,64958.82
73,Canada,Montreal,62,54927.6
74,France,Marseille,45,64263.29
75,Brazil,Brasilia,67,43797.2
76,India,Mumbai,19,51237.44
77,Canada,Vancouver,37,50250.34
78,Canada,Vancouver,21,22977.63
79,France,Lyon,30,76833.79
80,Canada,Toronto,41,67963.42
81,Canada,Toronto,78,63926.51
82,Brazil,Sao Paulo,65,69273.9
83,France,Paris,55,42996.11
84,Brazil,Brasilia,75,61936.62
